feature,shared_value_row0,rawppo_value_row0,nautilus_value_row0,max_abs_diff,match
open,0.7705482176782906,0.7705482176782906,0.7705482176782906,0.0,True
high,0.8305830144594114,0.8305830144594114,0.8305830144594114,0.0,True
low,0.8144867085557572,0.8144867085557572,0.8144867085557572,0.0,True
close,0.8511959223002522,0.8511959223002522,0.8511959223002522,0.0,True
volume,-0.30870705830468415,-0.30870705830468415,-0.30870705830468415,0.0,True
sma10,1.0506599233049023,1.0506599233049023,1.0506599233049023,0.0,True
sma20,1.124285758903387,1.124285758903387,1.124285758903387,0.0,True
sma50,1.143594507242339,1.143594507242339,1.143594507242339,0.0,True
ema12,1.0430672176642855,1.0430672176642855,1.0430672176642855,0.0,True
ema26,1.113626602469303,1.113626602469303,1.113626602469303,0.0,True
macd_line,-0.7507685586484645,-0.7507685586484645,-0.7507685586484645,0.0,True
macd_signal,-0.40142608861376694,-0.40142608861376694,-0.40142608861376694,0.0,True
rsi14,-1.5430935887186468,-1.5430935887186468,-1.5430935887186468,0.0,True
stoch_k,-1.2243787235151178,-1.2243787235151178,-1.2243787235151178,0.0,True
stoch_d,-1.3946699222165868,-1.3946699222165868,-1.3946699222165868,0.0,True
boll_upper,1.0406524324660518,1.0406524324660518,1.0406524324660518,0.0,True
boll_lower,1.1907739063971,1.1907739063971,1.1907739063971,0.0,True
atr14,0.059754925311227135,0.059754925311227135,0.059754925311227135,0.0,True
obv,0.7925465998979456,0.7925465998979456,0.7925465998979456,0.0,True
vwap,1.105080982142823,1.105080982142823,1.105080982142823,0.0,True
cci,-2.250521910029243,-2.250521910029243,-2.250521910029243,0.0,True
williams_r,-1.2243787235151413,-1.2243787235151413,-1.2243787235151413,0.0,True
